it_co_receita,it_no_receita
9745,IPERON- INAT IPERON CIV IL - Juros/M /AtM - Patronal,9745 - IPERON- INAT IPERON CIV IL - Juros/M /AtM - Patronal
9746,IPERON- INATIV O IPERON MILlTAR- Servidor,9746 - IPERON- INATIV O IPERON MILlTAR- Servidor
9747,IPERON- INATIV O IPERON MILlTAR- Patronal,9747 - IPERON- INATIV O IPERON MILlTAR- Patronal
9748,IPERON- INATIV O IPERON MILlTAR- Outros,9748 - IPERON- INATIV O IPERON MILlTAR- Outros
9749,IPERON- INAT IPERON MILlT - Juros/M /AtM - Se rvidor,9749 - IPERON- INAT IPERON MILlT - Juros/M /AtM - Se rvidor
9750,IPERON- INAT IPERON MILlT - Juros/M /AtM - Patronal,9750 - IPERON- INAT IPERON MILlT - Juros/M /AtM - Patronal
9751,IPERON- SESDEC MILlTAR- Servidor,9751 - IPERON- SESDEC MILlTAR- Servidor
9752,IPERON- SESDEC MILlTAR- Patronal,9752 - IPERON- SESDEC MILlTAR- Patronal
9753,IPERON- SESDEC MILlTAR- Outros,9753 - IPERON- SESDEC MILlTAR- Outros
9754,IPERON- SESDEC MILlTAR- Lic s/venc- Servidor,9754 - IPERON- SESDEC MILlTAR- Lic s/venc- Servidor
9755,IPERON- SESDEC MILlTAR- Lic s/venc- Patronal,9755 - IPERON- SESDEC MILlTAR- Lic s/venc- Patronal
9756,IPERON- SESDEC MILlTAR- Juros/M /A tM - Servidor,9756 - IPERON- SESDEC MILlTAR- Juros/M /A tM - Servidor
9757,IPERON- SESDEC MILlTAR- Juros/M /A tM - Patronal,9757 - IPERON- SESDEC MILlTAR- Juros/M /A tM - Patronal
9901,FUMRESPOM- Serviço preventivo de sego pública interno,9901 - FUMRESPOM- Serviço preventivo de sego pública interno
9902,FUMRESPOM- Serviço preventivo de sego pública externo,9902 - FUMRESPOM- Serviço preventivo de sego pública externo
9903,FUMRESPOM- Serviço vigilância eletrônica,9903 - FUMRESPOM- Serviço vigilância eletrônica
9904,FUMRESPOM- Permanência veículos automotores em pátio,9904 - FUMRESPOM- Permanência veículos automotores em pátio
9905,"FUMRESPOM- Cursos , palestras, estágios ou demonstrações","9905 - FUMRESPOM- Cursos , palestras, estágios ou demonstrações"
9906,FUMRESPOM- Hospedagem em estabelecimentos da PM,9906 - FUMRESPOM- Hospedagem em estabelecimentos da PM
9907,FUMRESPOM- Uso espaço ou equipamento desportivo da PM,9907 - FUMRESPOM- Uso espaço ou equipamento desportivo da PM
9908,FUMRESPOM- Uso estandes de tiro e bases de selva da PM,9908 - FUMRESPOM- Uso estandes de tiro e bases de selva da PM
9909,FUMRESPOM- Uso de imóveis da PM,9909 - FUMRESPOM- Uso de imóveis da PM
9910,FUMRESPOM- Guincho - remoção de veículos,9910 - FUMRESPOM- Guincho - remoção de veículos
9911,"FUMRESPOM- Certidão, atestado, cópia de boletim","9911 - FUMRESPOM- Certidão, atestado, cópia de boletim"
9912,FUMRESPOM- Apresentação banda de música,9912 - FUMRESPOM- Apresentação banda de música
9913,FUMRESPOM- Adestramento de animais,9913 - FUMRESPOM- Adestramento de animais
9914,FUMRESPOM- Atendimento veterinário,9914 - FUMRESPOM- Atendimento veterinário
9915,FUMRESPOM- Segunda via cédula identidade militar,9915 - FUMRESPOM- Segunda via cédula identidade militar
9916,FUMRESPOM- Parecer técnico,9916 - FUMRESPOM- Parecer técnico
9917,FUMRESPOM- Inscrição em concurso público PM,9917 - FUMRESPOM- Inscrição em concurso público PM
9918,"FUMRESPOM- Segurança em reintegração, imissão e manutenção judicial de posse","9918 - FUMRESPOM- Segurança em reintegração, imissão e manutenção judicial de posse"
9919,"FUMRESPOM- Convênios, acordos ou contratos","9919 - FUMRESPOM- Convênios, acordos ou contratos"
9920,FUMRESPOM- Indenização danos patrimoniais,9920 - FUMRESPOM- Indenização danos patrimoniais
9921,FUMRESPOM- Multa judicial destinada à PM,9921 - FUMRESPOM- Multa judicial destinada à PM
9922,FUMRESPOM- Alienação bens próprios,9922 - FUMRESPOM- Alienação bens próprios
9923,FUMRESPOM- Alienação bens apreendidos ou doados,9923 - FUMRESPOM- Alienação bens apreendidos ou doados
0001,Alta Floresta do Oeste,0001 - Alta Floresta do Oeste
0002,Ariquemes,0002 - Ariquemes
0003,Cabixi,0003 - Cabixi
0004,Cacoal,0004 - Cacoal
0005,Cerejeiras,0005 - Cerejeiras
0006,Colorado do Oeste,0006 - Colorado do Oeste
0007,Curumbiara,0007 - Curumbiara
0008,Costa Marques,0008 - Costa Marques
0009,Espigão do Oeste,0009 - Espigão do Oeste
0010,Guajará-Mirim,0010 - Guajará-Mirim
0011,Jarú,0011 - Jarú
0012,Ji-Paraná,0012 - Ji-Paraná
0013,Machadinho do Oeste,0013 - Machadinho do Oeste
0014,Nova Brasilandia do Oeste,0014 - Nova Brasilandia do Oeste
0015,Ouro Preto do Oeste,0015 - Ouro Preto do Oeste
0018,Pimenta Bueno,0018 - Pimenta Bueno
0020,Porto Velho,0020 - Porto Velho
0025,Presidente Medice,0025 - Presidente Medice
0026,Rio Crespo,0026 - Rio Crespo
0028,Rolim de Moura,0028 - Rolim de Moura
0029,Santa Luzia do Oeste,0029 - Santa Luzia do Oeste
0030,Vilhena,0030 - Vilhena
0032,São Miguel do Guaporé,0032 - São Miguel do Guaporé
0033,Nova Mamoré,0033 - Nova Mamoré
0034,Alvorada do Oeste,0034 - Alvorada do Oeste
0037,Alto Alegre dos Parecis,0037 - Alto Alegre dos Parecis
0040,Alto Paraíso,0040 - Alto Paraíso
0045,Buritis,0045 - Buritis
0050,Novo Horizonte do Oeste,0050 - Novo Horizonte do Oeste
0060,Cacaulandia,0060 - Cacaulandia
0070,Campo Novo de Rondônia,0070 - Campo Novo de Rondônia
0080,Candeias,0080 - Candeias
0090,Castanheiras,0090 - Castanheiras
0092,Chupinguaia,0092 - Chupinguaia
0094,Cujubim,0094 - Cujubim
0100,Governador Jorge Teixeira,0100 - Governador Jorge Teixeira
0110,Itapoã do Oeste,0110 - Itapoã do Oeste
0120,Ministro Andreazza,0120 - Ministro Andreazza
0130,Mirante da Serra,0130 - Mirante da Serra
0140,Monte Negro,0140 - Monte Negro
0143,Nova União,0143 - Nova União
0145,Parecis,0145 - Parecis
0146,Pimenteira do Oeste,0146 - Pimenteira do Oeste
0147,Primavera de Rondônia,0147 - Primavera de Rondônia
0148,São Felipe do Oeste,0148 - São Felipe do Oeste
0149,São Francisco do Guaporé,0149 - São Francisco do Guaporé
0150,Seringueiras,0150 - Seringueiras
0155,Teixeiropolis,0155 - Teixeiropolis
0160,Theobroma,0160 - Theobroma
0170,Urupá,0170 - Urupá
0175,Vale do Anari,0175 - Vale do Anari
0180,Vale do Paraíso,0180 - Vale do Paraíso
8538,DETRAN - Credenciamento de Em presas para Regravação/Gravação Chassi/Motor,8538 - DETRAN - Credenciamento de Em presas para Regravação/Gravação Chassi/Motor
8539,DETRAN - Credenciamento de Fábrica de Placas,8539 - DETRAN - Credenciamento de Fábrica de Placas
8540,DETRAN - Credenciamento de Despachantes,8540 - DETRAN - Credenciamento de Despachantes
8541,DETRAN - Devolução de Processos Pendentes Tramitados por Despachante,8541 - DETRAN - Devolução de Processos Pendentes Tramitados por Despachante
8542,DETRAN - Escolha de Número de Placa,8542 - DETRAN - Escolha de Número de Placa
8543,DETRAN - Renovação de Credenciamento de Financeiras para Acesso ao SNG,8543 - DETRAN - Renovação de Credenciamento de Financeiras para Acesso ao SNG
8544,DETRAN - Renovação de Credenciamento de Fábrica de Placas,8544 - DETRAN - Renovação de Credenciamento de Fábrica de Placas
8545,DETRAN - Renovação de Credenciamento de Empresa para Regravação/Gravação Chassi/Motor,8545 - DETRAN - Renovação de Credenciamento de Empresa para Regravação/Gravação Chassi/Motor
8546,DETRAN - Renovação de Credenciamento de Despachante,8546 - DETRAN - Renovação de Credenciamento de Despachante
8547,DETRAN - Renovação de Credenciamento de Concessionária para Fins Diversos,8547 - DETRAN - Renovação de Credenciamento de Concessionária para Fins Diversos
8548,DETRAN - Autorização para Confecção de Placas e Tarjetas,8548 - DETRAN - Autorização para Confecção de Placas e Tarjetas
8549,DETRAN - Emissão de CRV,8549 - DETRAN - Emissão de CRV
8550,DETRAN - Lacre de Placa e Tarjeta,8550 - DETRAN - Lacre de Placa e Tarjeta
8551,DETRAN - Guincho,8551 - DETRAN - Guincho
8552,DETRAN - Permanência e Diárias,8552 - DETRAN - Permanência e Diárias
8553,DETRAN - Vistoria,8553 - DETRAN - Vistoria
8554,DETRAN - 1ª Habilitação com uma Categoria,8554 - DETRAN - 1ª Habilitação com uma Categoria
8555,DETRAN - 1ª Habilitação com duas Categorias,8555 - DETRAN - 1ª Habilitação com duas Categorias
8556,DETRAN - Renovação de CNH/ACC,8556 - DETRAN - Renovação de CNH/ACC
8557,DETRAN - CNH Definitiva,8557 - DETRAN - CNH Definitiva
8558,DETRAN - Microficha e Documento Digitalizado,8558 - DETRAN - Microficha e Documento Digitalizado
8559,DETRAN - Alteração de Dados CNH,8559 - DETRAN - Alteração de Dados CNH
8560,DETRAN - Adição de Categoria,8560 - DETRAN - Adição de Categoria
8562,DETRAN - 2ª Via de CNH/PPD/ACC/PID,8562 - DETRAN - 2ª Via de CNH/PPD/ACC/PID
8563,DETRAN - Transferência de PPD/CNH de outra UF,8563 - DETRAN - Transferência de PPD/CNH de outra UF
8564,DETRAN - Registro de Estrangeiro,8564 - DETRAN - Registro de Estrangeiro
8565,DETRAN - PID (Permissão Internacional para Dirigir),8565 - DETRAN - PID (Permissão Internacional para Dirigir)
8566,DETRAN - Reabertura de Processo Prescrito,8566 - DETRAN - Reabertura de Processo Prescrito
8567,DETRAN - Transferência de Processo entre Municípios,8567 - DETRAN - Transferência de Processo entre Municípios
8568,DETRAN - Devolução de CNH Apreendida,8568 - DETRAN - Devolução de CNH Apreendida
8569,DETRAN - Certidão de nada Consta e P rontuário de CNH,8569 - DETRAN - Certidão de nada Consta e P rontuário de CNH
8570,DETRAN - Exame Teórico de Reciclagem/ Atualização/ Reteste,8570 - DETRAN - Exame Teórico de Reciclagem/ Atualização/ Reteste
8571,DETRAN - Serviço Complementar - Ausente Exam e Teórico ou Prático,8571 - DETRAN - Serviço Complementar - Ausente Exam e Teórico ou Prático
8572,DETRAN - Exame Prático - Reteste por Categoria,8572 - DETRAN - Exame Prático - Reteste por Categoria
8573,DETRAN - Credenciamento de Centro de Formação de Condutores - CFC,8573 - DETRAN - Credenciamento de Centro de Formação de Condutores - CFC
8574,DETRAN - Renovação de Credenciamento de Centro de Formação de Condutores - CFC,8574 - DETRAN - Renovação de Credenciamento de Centro de Formação de Condutores - CFC
8575,DETRAN - Expedição de Carteira/Registro de Diretor - CFC,8575 - DETRAN - Expedição de Carteira/Registro de Diretor - CFC
8576,DETRAN - Expedição de Carteira/Registro de Instrutor - CFC,8576 - DETRAN - Expedição de Carteira/Registro de Instrutor - CFC
8577,DETRAN - Expedição de 2ª via de Carteira de Diretor de CFC,8577 - DETRAN - Expedição de 2ª via de Carteira de Diretor de CFC
8578,DETRAN - Expedição de 2ª via de Carteira de Instrutor de CFC,8578 - DETRAN - Expedição de 2ª via de Carteira de Instrutor de CFC
8579,DETRAN - Credenciamento de Psicólogo Perito Examinador de Trânsito,8579 - DETRAN - Credenciamento de Psicólogo Perito Examinador de Trânsito
8580,DETRAN - Credenciamento de Médico Perito Examinador de Trânsito,8580 - DETRAN - Credenciamento de Médico Perito Examinador de Trânsito
8581,DETRAN - Renovação de Credenciamento de Médico,8581 - DETRAN - Renovação de Credenciamento de Médico
8582,DETRAN - Renovação de Credenciamento de Psicólogo,8582 - DETRAN - Renovação de Credenciamento de Psicólogo
8583,DETRAN - Inscrição para Curso de Formação Especializado de Trânsito,8583 - DETRAN - Inscrição para Curso de Formação Especializado de Trânsito
8584,DETRAN - Expedição de 2ª via de Certificado e outros Serviços,8584 - DETRAN - Expedição de 2ª via de Certificado e outros Serviços
8585,DETRAN - Inscrição para Curso de Formação de Diretores de CFC,8585 - DETRAN - Inscrição para Curso de Formação de Diretores de CFC
8586,DETRAN - Inscrição para Curso de Formação de Instrutores de CFC,8586 - DETRAN - Inscrição para Curso de Formação de Instrutores de CFC
8587,DETRAN - Inscrição para Curso de Formação de Examinador de Trânsito,8587 - DETRAN - Inscrição para Curso de Formação de Examinador de Trânsito
JARU,001,JARU - 001
8825,DEVOP - CONST. CIVIL - TAXA DE CÓPIA DE QUALQUER DOCUMENTO PRODUZIDO PELO ÓRGÃO E REQUERIDO PÓR TERCEIROS,8825 - DEVOP - CONST. CIVIL - TAXA DE CÓPIA DE QUALQUER DOCUMENTO PRODUZIDO PELO ÓRGÃO E REQUERIDO PÓR TERCEIROS
8826,DEVOP - CONST. CIVIL - TAXA DE CÓPIA DE DESENHO (PROJETO) OU CÓPIA HELIOGRÁFICA POR M²,8826 - DEVOP - CONST. CIVIL - TAXA DE CÓPIA DE DESENHO (PROJETO) OU CÓPIA HELIOGRÁFICA POR M²
8827,DEVOP - CONST. CIVIL - TAXA DE MAPA RODOVIÁRIO A CORES,8827 - DEVOP - CONST. CIVIL - TAXA DE MAPA RODOVIÁRIO A CORES
8828,DEVOP- CONST CIVIL- TAXA DE TERMO DE RECEBIMENTO DEFINITIVO DE OBRAS,8828 - DEVOP- CONST CIVIL- TAXA DE TERMO DE RECEBIMENTO DEFINITIVO DE OBRAS
8829,DEVOP - CONST. CIVIL - TAXA DE EDITAL DE CARTA CONVITE,8829 - DEVOP - CONST. CIVIL - TAXA DE EDITAL DE CARTA CONVITE
8830,DEVOP - CONST. CIVIL - TAXA DE IMPETRAÇÃO DE RECURSOS DIVERSOS,8830 - DEVOP - CONST. CIVIL - TAXA DE IMPETRAÇÃO DE RECURSOS DIVERSOS
8831,DEVOP - CONST. CIVIL - TAXA DE CERTIDÃO DE APROVAÇÃO DE LOCALIDADE DE POSTOS E DERIVADOS DE PETRÓLEO,8831 - DEVOP - CONST. CIVIL - TAXA DE CERTIDÃO DE APROVAÇÃO DE LOCALIDADE DE POSTOS E DERIVADOS DE PETRÓLEO
8832,DEVOP - CONST. CIVIL - TAXA DE EXPEDIENTE,8832 - DEVOP - CONST. CIVIL - TAXA DE EXPEDIENTE
8841,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO ATÉ 10 VEÍCULOS,8841 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO ATÉ 10 VEÍCULOS
8842,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 11 A 30 VEÍCULOS,8842 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 11 A 30 VEÍCULOS
8843,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 31 A 50 VEÍCULOS,8843 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 31 A 50 VEÍCULOS
8844,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 51 A 100 VEÍCULOS,8844 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 51 A 100 VEÍCULOS
8845,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 101 A 200 VEÍCULOS,8845 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO DE 101 A 200 VEÍCULOS
8846,DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO ACIMA DE 200 VEÍCULOS,8846 - DEVOP - TAXA DE REGISTRO DE EMPRESA E RENOVAÇÃO ACIMA DE 200 VEÍCULOS
8863,DEVOP - OBRAS ROD.- TAXA DE ATESTADO DE REGULARIDADE DE OBRAS/SERVIÇOS,8863 - DEVOP - OBRAS ROD.- TAXA DE ATESTADO DE REGULARIDADE DE OBRAS/SERVIÇOS
8864,DEVOP - OBRAS ROD.- TAXA DE CÓPIA DE QUALQUER DOCUMENTO PRODUZIDO PELO ÓRGÃO E REQUERIDO POR TERCEIROS,8864 - DEVOP - OBRAS ROD.- TAXA DE CÓPIA DE QUALQUER DOCUMENTO PRODUZIDO PELO ÓRGÃO E REQUERIDO POR TERCEIROS
8865,DEVOP - OBRAS ROD.- TAXA DE MAPA RODOVIÁRIO A CORES,8865 - DEVOP - OBRAS ROD.- TAXA DE MAPA RODOVIÁRIO A CORES
8866,DEVOP - OBRAS ROD.- TAXA DE TERMO DE RECEBIMENTO DEFINITIVO DE OBRAS,8866 - DEVOP - OBRAS ROD.- TAXA DE TERMO DE RECEBIMENTO DEFINITIVO DE OBRAS
8867,DEVOP - OBRAS ROD.- TAXA DE EXPEDIENTE,8867 - DEVOP - OBRAS ROD.- TAXA DE EXPEDIENTE
9522,IPERON-PREF PIMENTEIRA EMPREGADO,9522 - IPERON-PREF PIMENTEIRA EMPREGADO
5143,Parcelamento de Divida Ativa de ICMS,5143 - Parcelamento de Divida Ativa de ICMS
5526,FECOEP – Divida ativa Fundo de combate à pobreza,5526 - FECOEP – Divida ativa Fundo de combate à pobreza
5521,FIDER - Divida Ativa Fundo de Desenvolvimento Industrial de Rondônia,5521 - FIDER - Divida Ativa Fundo de Desenvolvimento Industrial de Rondônia
5522,FITHA - Divida Ativa Fundo para a Infra-Estrutura de Transporte e Habitação,5522 - FITHA - Divida Ativa Fundo para a Infra-Estrutura de Transporte e Habitação
